#	Date	Day	Work Performed
52	19 May 2026	Tuesday	Added LMS course recommendations for profiles that come from the LMS, and set up Zoho for project tracking
53	20 May 2026	Wednesday	Built the hiring manager dashboard with the pool stats, domain breakdown and recent candidates
54	21 May 2026	Thursday	Built the JD search with the weighted mandatory/preferred skill-match ranking and the candidate detail page
55	22 May 2026	Friday	Wrapped up the candidate data-model changes and ran the migrations
56	25 May 2026	Monday	Interview as a Service: Set up the HeyGen LiveAvatar account and got the streaming API key
57	26 May 2026	Tuesday	Interview as a Service: Did a basic LiveAvatar demo, got the avatar WebRTC stream rendering in the browser
58	27 May 2026	Wednesday	Tidied up the hiring manager search, added pagination and the filters
59	28 May 2026	Thursday	Interview as a Service: Got the avatar to speak by sending text through the LiveAvatar session repeat call
60	29 May 2026	Friday	Interview as a Service: Fixed the avatar going silent; it was calling repeat before the session reached the connected state, so I fixed the event timing
61	01 Jun 2026	Monday	Interview as a Service: Hooked up Deepgram nova-2 streaming speech to text over a websocket for the candidate audio
62	02 Jun 2026	Tuesday	Interview as a Service: Got the realtime transcript working with the avatar, handling the interim and final results
63	03 Jun 2026	Wednesday	Interview as a Service: Wired the basic question and follow-up loop, sending the transcript to the model and the reply back to the avatar
64	04 Jun 2026	Thursday	Got LMS access from the team and went through how SmartRecruitz would plug into it
65	05 Jun 2026	Friday	Started the LMS integration: built the recruitment module and the candidate to LMS-user mapping table
66	08 Jun 2026	Monday	Wired the approval flow and the short-lived token handoff between the LMS and SmartRecruitz
67	09 Jun 2026	Tuesday	Started merging the SmartRecruitz database into the LMS Postgres database
68	10 Jun 2026	Wednesday	Moved the tables into the LMS application schema with the lms_recruit_ prefix and matched their naming conventions
69	11 Jun 2026	Thursday	Pointed the FastAPI backend at the shared LMS database, updated the models, FKs and the Alembic version schema, and verified it still worked
70	12 Jun 2026	Friday	Wired the location filter into the hiring manager search, matching current or preferred location
71	15 Jun 2026	Monday	Started the standalone auth: argon2 password hashing and HS256 JWTs, and set up the Google sign in
72	16 Jun 2026	Tuesday	Finished the auth: the hiring manager login, the get_current_user dependency and the route guards
73	17 Jun 2026	Wednesday	Interview as a Service: Tested the LiveAvatar interview demo end to end
74	18 Jun 2026	Thursday	Stabilised both apps, sorted the env config and the run scripts, and wrote up the docs
75	19 Jun 2026	Friday	Added the Google sign in for both candidates and hiring managers, with the intent-based OAuth callback assigning the role
